SiteId,Site Type,System Name,x,y,z,Region (Calculated),Region (Journal),Primary Star,Body Name,POI Id,Body Sub Type,Gravity,Distance To Arrival,Surface Temperature,Volcanism,Orbital Period,Rotational Period,Orbital Eccentricity,Discovered By
106,Alpha,COL 173 SECTOR OG-Z C15-35,1084.125,2.59375,12.9375,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 1,,High metal content world,0.2666319469,4548,297,No volcanism,21.47438419,21.47439321,0.000052,zzz_Unknown
107,Gamma,COL 173 SECTOR WZ-O B22-4,1011.0625,-131.78125,-210.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 6,,High metal content world,0.2831524562,299714,249,No volcanism,8.65671149,-8.656729557,0.007409,zzz_Unknown
108,Alpha,COL 173 SECTOR WZ-O B22-4,1011.0625,-131.78125,-210.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 5,,High metal content world,0.2350078205,299700,282,No volcanism,5.738364257,5.738376735,0.001126,zzz_Unknown
109,Alpha,COL 173 SECTOR WZ-O B22-4,1011.0625,-131.78125,-210.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 5,,High metal content world,0.2350078205,299700,282,No volcanism,5.738364257,5.738376735,0.001126,zzz_Unknown
110,Gamma,COL 173 SECTOR WZ-O B22-4,1011.0625,-131.78125,-210.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 5,,High metal content world,0.2350078205,299700,282,No volcanism,5.738364257,5.738376735,0.001126,zzz_Unknown
111,Alpha,COL 173 SECTOR HR-M B23-3,1024.28125,-191.71875,-193.8125,Inner Orion Spur,Inner Orion Spur,T Tauri Star, B 7,,High metal content world,0.1458000592,2642,299,No volcanism,16.98628965,16.98629432,0.000132,Lialah Rose
112,Alpha,COL 173 SECTOR HR-M B23-3,1024.28125,-191.71875,-193.8125,Inner Orion Spur,Inner Orion Spur,T Tauri Star, B 7,,High metal content world,0.1458000592,2642,299,No volcanism,16.98628965,16.98629432,0.000132,zzz_Unknown
113,Beta,COL 173 SECTOR HR-M B23-3,1024.28125,-191.71875,-193.8125,Inner Orion Spur,Inner Orion Spur,T Tauri Star, C 5,,High metal content world,0.3550781137,2484,240,No volcanism,15.87223262,15.87227524,0.000231,Oida Voda
114,Gamma,COL 173 SECTOR KP-T B34-8,1086.09375,25.6875,46.3125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.1548753503,343,278,Major Silicate Vapour Geysers,0.4042313814,0.5735172463,0.124795,AdmlAdama
115,Beta,COL 173 SECTOR KP-T B34-8,1086.09375,25.6875,46.3125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.1548753503,343,278,Major Silicate Vapour Geysers,0.4042313814,0.5735172463,0.124795,AdmlAdama
116,Gamma,COL 173 SECTOR LB-W B31-0,1258.5,-283.125,-20.09375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 1,,High metal content world,0.1484642212,225546,242,Metallic Magma,0.9708475297,0.9708507849,0.00002,PwnLuc Jicard
117,Beta,COL 173 SECTOR LB-W B31-0,1258.5,-283.125,-20.09375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 1,,High metal content world,0.1484642212,225546,242,Metallic Magma,0.9708475297,0.9708507849,0.00002,PwnLuc Jicard
118,Beta,COL 173 SECTOR LB-W B31-0,1258.5,-283.125,-20.09375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 1,,High metal content world,0.1484642212,225546,242,Metallic Magma,0.9708475297,0.9708507849,0.00002,PwnLuc Jicard
119,Gamma,COL 173 SECTOR OC-C B29-1,1206.46875,-190.59375,-82.625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 4,,High metal content world,0.2876820388,96,298,No volcanism,46.13370324,46.13377395,0.000624,Alice Cooper
120,Beta,COL 173 SECTOR OC-C B29-1,1206.46875,-190.59375,-82.625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 4,,High metal content world,0.2876820388,96,298,No volcanism,46.13370324,46.13377395,0.000624,Alice Cooper
121,Gamma,COL 173 SECTOR OC-C B29-1,1206.46875,-190.59375,-82.625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 4,,High metal content world,0.2876820388,96,298,No volcanism,46.13370324,46.13377395,0.000624,Alice Cooper
122,Alpha,COL 173 SECTOR UU-O D6-30,1196.6875,-225.84375,-161.5,Inner Orion Spur,Inner Orion Spur,F (White) Star, 4 D,,Rocky body,0.130934016,925,290,No volcanism,7.415664555,-7.415707047,0.002304,Crassus
123,Gamma,COL 173 SECTOR UU-O D6-30,1196.6875,-225.84375,-161.5,Inner Orion Spur,Inner Orion Spur,F (White) Star, 4 D,,Rocky body,0.130934016,925,290,No volcanism,7.415664555,-7.415707047,0.002304,Crassus
124,Gamma,COL 173 SECTOR UU-O D6-30,1196.6875,-225.84375,-161.5,Inner Orion Spur,Inner Orion Spur,F (White) Star, 4 F,,Rocky body,0.1345273759,926,279,No volcanism,17.39441245,-17.39451047,0.001128,Crassus
125,Alpha,COL 173 SECTOR OZ-U B33-6,1160.90625,-20.03125,21.21875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1,,High metal content world,0.3031164509,31,284,No volcanism,11.4233941,11.42340639,0.000284,Zieman
126,Alpha,COL 173 SECTOR OZ-U B33-6,1160.90625,-20.03125,21.21875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1,,High metal content world,0.3031164509,31,284,No volcanism,11.4233941,11.42340639,0.000284,Zieman
127,Gamma,COL 173 SECTOR OZ-U B33-6,1160.90625,-20.03125,21.21875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1,,High metal content world,0.3031164509,31,284,No volcanism,11.4233941,11.42340639,0.000284,Zieman
128,Gamma,COL 173 SECTOR JB-F B27-1,1154.96875,-259.96875,-113.46875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 4,,High metal content world,0.3955477523,107,283,No volcanism,55.38197338,55.38215856,0.001719,Zero Shift
129,Beta,COL 173 SECTOR JB-F B27-1,1154.96875,-259.96875,-113.46875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 4,,High metal content world,0.3955477523,107,283,No volcanism,55.38197338,55.38215856,0.001719,Zero Shift
130,Beta,COL 173 SECTOR JB-F B27-1,1154.96875,-259.96875,-113.46875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, BC 3,,High metal content world,0.2376105924,1238,273,No volcanism,17.75350405,17.75352141,0.001341,Zero Shift
131,Gamma,COL 173 SECTOR YG-A C15-20,1315.1875,-180.9375,-63.8125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.2284739391,249,277,No volcanism,142.5041921,1.036739798,0.000679,Zero Shift
132,Beta,COL 173 SECTOR YG-A C15-20,1315.1875,-180.9375,-63.8125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.2284739391,249,277,No volcanism,142.5041921,1.036739798,0.000679,Zero Shift
133,Alpha,COL 173 SECTOR WK-A A48-4,1098.15625,-39.96875,-188.75,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star, A 3,,High metal content world,0.2790733508,24,239,No volcanism,9.615193708,9.615218816,0.000105,Larzok82
134,Beta,COL 173 SECTOR WK-A A48-4,1098.15625,-39.96875,-188.75,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star, A 3,,High metal content world,0.2790733508,24,239,No volcanism,9.615193708,9.615218816,0.000105,Larzok82
135,Gamma,COL 173 SECTOR WK-A A48-4,1098.15625,-39.96875,-188.75,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star, A 3,,High metal content world,0.2790733508,24,239,No volcanism,9.615193708,9.615218816,0.000105,Larzok82
136,Beta,VELA DARK REGION FL-Y D63,1064.5,-144.03125,-101.71875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, A 5,,High metal content world,0.1661985507,278,298,No volcanism,171.2573416,2.025420309,0.001902,Farran
137,Alpha,VELA DARK REGION FL-Y D63,1064.5,-144.03125,-101.71875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, A 5,,High metal content world,0.1661985507,278,298,No volcanism,171.2573416,2.025420309,0.001902,Farran
138,Beta,VELA DARK REGION FL-Y D63,1064.5,-144.03125,-101.71875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 1,,High metal content world,0.1473722721,6671,236,No volcanism,46.57622841,46.57624817,0.001098,Farran
139,Gamma,VELA DARK REGION FL-Y D63,1064.5,-144.03125,-101.71875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 1,,High metal content world,0.1473722721,6671,236,No volcanism,46.57622841,46.57624817,0.001098,Farran
140,Beta,SYNUEFE YY-Q C21-19,589.15625,-144.5,-107.84375,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, 2 A,,Rocky body,0.1965979891,752,280,No volcanism,2.505643914,2.505670488,0.002286,Awan
141,Gamma,IC 2391 SECTOR YE-A D103,489.03125,-98.09375,-34.96875,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 1,,High metal content world,0.2228546053,21975,245,No volcanism,29.00082618,49.11830026,0.042952,Spock Oddsocks
142,Gamma,VELA DARK REGION VO-Q B5-1,1062.03125,-91.8125,-40.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 6,,High metal content world,0.3947252655,7891,289,No volcanism,54.67846645,54.47759526,0.003402,P-R-TRIDGE
143,Beta,VELA DARK REGION VO-Q B5-1,1062.03125,-91.8125,-40.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 6,,High metal content world,0.3947252655,7891,289,No volcanism,54.67846645,54.47759526,0.003402,P-R-TRIDGE
144,Alpha,VELA DARK REGION VO-Q B5-1,1062.03125,-91.8125,-40.4375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 5,,High metal content world,0.3678384845,7058,234,No volcanism,75.93957638,75.93971455,0.000276,P-R-TRIDGE
145,Beta,BLAE EORK QU-D D13-3,8602.75,-219.8125,2641.9375,Outer Orion Spur,Outer Orion Spur,F (White) Star,3,,High metal content world,0.2993244142,629,234,No volcanism,492.0893452,1.273152289,0.000019,Zed
146,Gamma,BLAE EORK QU-D D13-3,8602.75,-219.8125,2641.9375,Outer Orion Spur,Outer Orion Spur,F (White) Star,3,,High metal content world,0.2993244142,629,234,No volcanism,492.0893452,1.273152289,0.000019,Zed
147,Gamma,BLAE EORK QU-D D13-3,8602.75,-219.8125,2641.9375,Outer Orion Spur,Outer Orion Spur,F (White) Star,3,,High metal content world,0.2993244142,629,234,No volcanism,492.0893452,1.273152289,0.000019,Zed
148,Gamma,VELA DARK REGION WT-R B4-3,1044.6875,-158.4375,-62.5625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 1,,High metal content world,0.2017171106,860,304,Minor Rocky Magma,2.15578559,2.119004268,0.00085,iamF1
149,Gamma,VELA DARK REGION WT-R B4-3,1044.6875,-158.4375,-62.5625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.1704947623,877,246,No volcanism,4.687386068,4.64094401,0.000022,iamF1
150,Beta,VELA DARK REGION WT-R B4-3,1044.6875,-158.4375,-62.5625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.1704947623,877,246,No volcanism,4.687386068,4.64094401,0.000022,iamF1
151,Gamma,ETA CARINA SECTOR EL-Y D16,8636.59375,-156.1875,2686.71875,Outer Orion Spur,Outer Orion Spur,F (White) Star, ABC 4 A,,Rocky body,0.2121259481,1922,244,Minor Rocky Magma,2.176303348,2.134613966,0.005796,Factabulous
152,Beta,ETA CARINA SECTOR EL-Y D16,8636.59375,-156.1875,2686.71875,Outer Orion Spur,Outer Orion Spur,F (White) Star, ABC 4 A,,Rocky body,0.2121259481,1922,244,Minor Rocky Magma,2.176303348,2.134613966,0.005796,Factabulous
153,Gamma,ETA CARINA SECTOR EL-Y D16,8636.59375,-156.1875,2686.71875,Outer Orion Spur,Outer Orion Spur,F (White) Star, ABC 4 A,,Rocky body,0.2121259481,1922,244,Minor Rocky Magma,2.176303348,2.134613966,0.005796,Factabulous
154,Alpha,ETA CARINA SECTOR IM-V C2-4,8629.1875,-98.8125,2713.0625,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 2,,High metal content world,0.3044106826,447,206,No volcanism,17.16328785,17.85552945,0.190605,Factabulous
155,Gamma,ETA CARINA SECTOR IM-V C2-4,8629.1875,-98.8125,2713.0625,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 2,,High metal content world,0.3044106826,447,206,No volcanism,17.16328785,17.85552945,0.190605,Factabulous
156,Alpha,ETA CARINA SECTOR IM-V C2-4,8629.1875,-98.8125,2713.0625,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 2,,High metal content world,0.3044106826,447,206,No volcanism,17.16328785,17.85552945,0.190605,Factabulous
157,Gamma,2MASS J10444160-5947046,8614.1875,-116.6875,2733.03125,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 1 B,,Rocky body,0.1317382616,1551,245,No volcanism,5.909919256,5.910027186,0.000493,Factabulous
158,Alpha,2MASS J10444160-5947046,8614.1875,-116.6875,2733.03125,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 1 B,,Rocky body,0.1317382616,1551,245,No volcanism,5.909919256,5.910027186,0.000493,Factabulous
159,Alpha,COL 173 SECTOR UU-O D6-20,1192.09375,-209.15625,-184.65625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 6 D,,Rocky body,0.244565895,801,278,No volcanism,4.333422416,4.333523584,0.002198,Factabulous
160,Beta,COL 173 SECTOR UU-O D6-20,1192.09375,-209.15625,-184.65625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 6 C,,Rocky body,0.2932117395,794,294,No volcanism,2.509135408,-2.509193588,0.000249,Factabulous
161,Alpha,COL 173 SECTOR UU-O D6-20,1192.09375,-209.15625,-184.65625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 6 C,,Rocky body,0.2932117395,794,294,No volcanism,2.509135408,-2.509193588,0.000249,Factabulous
162,Beta,COL 173 SECTOR LJ-F C12-0,1202.125,-213.40625,-165.5625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 6,,High metal content world,0.223236977,159230,302,No volcanism,29.50252275,29.50254116,0.000449,Dave Weyland
163,Beta,COL 173 SECTOR LJ-F C12-0,1202.125,-213.40625,-165.5625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 6,,High metal content world,0.223236977,159230,302,No volcanism,29.50252275,29.50254116,0.000449,Dave Weyland
164,Beta,COL 173 SECTOR LJ-F C12-0,1202.125,-213.40625,-165.5625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 6,,High metal content world,0.223236977,159230,302,No volcanism,29.50252275,29.50254116,0.000449,Dave Weyland
165,Alpha,COL 173 SECTOR LJ-F C12-0,1202.125,-213.40625,-165.5625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 7,,High metal content world,0.2226357802,159327,243,No volcanism,6.821056207,10.37956527,0.08222,Dave Weyland
166,Gamma,COL 173 SECTOR LJ-F C12-0,1202.125,-213.40625,-165.5625,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, B 7,,High metal content world,0.2226357802,159327,243,No volcanism,6.821056207,10.37956527,0.08222,Dave Weyland
167,Beta,BLAE EORK IF-G C27-13,8668.1875,-172.03125,2656.125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.1911978683,296,279,No volcanism,183.8180133,0.975250691,0.000623,Commanjo20X6
168,Beta,BLAE EORK IF-G C27-13,8668.1875,-172.03125,2656.125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.1911978683,296,279,No volcanism,183.8180133,0.975250691,0.000623,Commanjo20X6
169,Gamma,BLAE EORK IF-G C27-13,8668.1875,-172.03125,2656.125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.1911978683,296,279,No volcanism,183.8180133,0.975250691,0.000623,Commanjo20X6
170,Beta,COL 173 SECTOR JX-K B24-0,993.0625,-188.1875,-173.53125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 4,,High metal content world,0.2936797262,678,248,No volcanism,9.078588889,9.023277151,0.005665,Raiss
171,Gamma,COL 173 SECTOR JX-K B24-0,993.0625,-188.1875,-173.53125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.2112206905,689,294,No volcanism,3.959784905,3.915720726,0.000016,Raiss
172,Alpha,COL 173 SECTOR JX-K B24-0,993.0625,-188.1875,-173.53125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 2,,High metal content world,0.2112206905,689,294,No volcanism,3.959784905,3.915720726,0.000016,Raiss
173,Beta,PRUA PHOE TS-B D252,-5541.84375,-548.03125,10516.9375,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 6,,High metal content world,0.1426078233,505163,282,Major Rocky Magma,1.445112957,1.85949548,0.025342,Factabulous
174,Gamma,PRUA PHOE TS-B D252,-5541.84375,-548.03125,10516.9375,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, D 1,,High metal content world,0.3099196246,505260,276,Major Rocky Magma,1.745954363,1.745958492,0.00145,Factabulous
175,Beta,PRUA PHOE TS-B D252,-5541.84375,-548.03125,10516.9375,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, D 1,,High metal content world,0.3099196246,505260,276,Major Rocky Magma,1.745954363,1.745958492,0.00145,Factabulous
176,Beta,PRUA PHOE TS-B D252,-5541.84375,-548.03125,10516.9375,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, D 1,,High metal content world,0.3099196246,505260,276,Major Rocky Magma,1.745954363,1.745958492,0.00145,Factabulous
177,Alpha,COL 173 SECTOR YF-N D7-74,1315.75,-181.5625,-62.1875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 4,,High metal content world,0.1914593996,4989,245,No volcanism,44.19662196,44.1966546,0.000527,DMehaffy
178,Alpha,COL 173 SECTOR YF-N D7-74,1315.75,-181.5625,-62.1875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 4,,High metal content world,0.1914593996,4989,245,No volcanism,44.19662196,44.1966546,0.000527,DMehaffy
179,Beta,COL 173 SECTOR YF-N D7-74,1315.75,-181.5625,-62.1875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 4,,High metal content world,0.1914593996,4989,245,No volcanism,44.19662196,44.1966546,0.000527,DMehaffy
180,Alpha,PRUA PHOE XY-Z D42,-5525.5625,-559.09375,10547.71875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,A (Blue-White) Star, 7 A,,Rocky body,0.2273661969,1125,289,No volcanism,2.551084522,-2.551307041,0.000677,Factabulous
181,Gamma,PRUA PHOE XY-Z D42,-5525.5625,-559.09375,10547.71875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,A (Blue-White) Star, 7 A,,Rocky body,0.2273661969,1125,289,No volcanism,2.551084522,-2.551307041,0.000677,Factabulous
182,Beta,PRUA PHOE XY-Z D42,-5525.5625,-559.09375,10547.71875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,A (Blue-White) Star, 7 A,,Rocky body,0.2273661969,1125,289,No volcanism,2.551084522,-2.551307041,0.000677,Factabulous
183,Alpha,PRUA PHOE XY-Z D42,-5525.5625,-559.09375,10547.71875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,A (Blue-White) Star, 8 A,,Rocky body,0.1810027484,1606,275,Minor Metallic Magma,1.201210757,1.201228932,0.000034,Factabulous
184,Alpha,PRUA PHOE XY-Z D42,-5525.5625,-559.09375,10547.71875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,A (Blue-White) Star, 8 A,,Rocky body,0.1810027484,1606,275,Minor Metallic Magma,1.201210757,1.201228932,0.000034,Factabulous
185,Gamma,PRUA PHOE XY-Z D114,-5517.78125,-566,10544.46875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, 4 D,,Rocky body,0.1300864164,829,305,No volcanism,4.014256169,4.014295747,0.002329,Factabulous
186,Alpha,PRUA PHOE XY-Z D114,-5517.78125,-566,10544.46875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, 4 F,,Rocky body,0.1945218831,828,283,No volcanism,17.47749125,17.47766288,0.001208,Factabulous
187,Gamma,PRUA PHOE XY-Z D114,-5517.78125,-566,10544.46875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, 4 F,,Rocky body,0.1945218831,828,283,No volcanism,17.47749125,17.47766288,0.001208,Factabulous
188,Gamma,PRUA PHOE XY-Z D114,-5517.78125,-566,10544.46875,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, 4 F,,Rocky body,0.1945218831,828,283,No volcanism,17.47749125,17.47766288,0.001208,Factabulous
189,Gamma,COL 173 SECTOR VN-A B30-1,1305.1875,-169.125,-52.125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 3,,High metal content world,0.3214890685,2212,248,No volcanism,57.60425926,57.60429398,0.000706,Baton
190,Gamma,COL 173 SECTOR VN-A B30-1,1305.1875,-169.125,-52.125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 3,,High metal content world,0.3214890685,2212,248,No volcanism,57.60425926,57.60429398,0.000706,Baton
191,Alpha,COL 173 SECTOR VN-A B30-1,1305.1875,-169.125,-52.125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, C 3,,High metal content world,0.3214890685,2212,248,No volcanism,57.60425926,57.60429398,0.000706,Baton
192,Gamma,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 2,,High metal content world,0.2269445717,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6567634384,0.049246,Factabulous
193,Beta,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 2,,High metal content world,0.2269445717,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6567634384,0.049246,Factabulous
194,Gamma,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 2,,High metal content world,0.2269445717,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6567634384,0.049246,Factabulous
195,Gamma,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 3,,High metal content world,0.225930792,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6525656329,0.049246,Factabulous
196,Alpha,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 3,,High metal content world,0.225930792,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6525656329,0.049246,Factabulous
197,Alpha,BLAE EORK RU-D D13-17,8675.5,-238.5,2655.625,Outer Orion Spur,Outer Orion Spur,F (White) Star, 1 A,,Rocky body,0.1225865779,863,294,Minor Silicate Vapour Geysers,1.478097602,1.409525011,0.000092,Commanjo20X6
198,Beta,BLAE EORK RU-D D13-17,8675.5,-238.5,2655.625,Outer Orion Spur,Outer Orion Spur,F (White) Star, 1 A,,Rocky body,0.1225865779,863,294,Minor Silicate Vapour Geysers,1.478097602,1.409525011,0.000092,Commanjo20X6
199,Alpha,BLAE EORK RU-D D13-17,8675.5,-238.5,2655.625,Outer Orion Spur,Outer Orion Spur,F (White) Star, 1 A,,Rocky body,0.1225865779,863,294,Minor Silicate Vapour Geysers,1.478097602,1.409525011,0.000092,Commanjo20X6
200,Gamma,COL 173 SECTOR UG-B C14-0,1012.8125,-328.71875,-77.96875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 1,,High metal content world,0.3624820161,78990,250,No volcanism,8.291540075,8.291577691,0.000229,Dan Soare
201,Beta,COL 173 SECTOR UG-B C14-0,1012.8125,-328.71875,-77.96875,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 1,,High metal content world,0.3624820161,78990,250,No volcanism,8.291540075,8.291577691,0.000229,Dan Soare
202,Alpha,BLAE EORK RU-D D13-20,8675.25,-185.65625,2687.09375,Outer Orion Spur,Outer Orion Spur,F (White) Star, 5 D,,Rocky body,0.1983613949,953,296,No volcanism,19.02242226,19.02294797,0.001117,Den Elton
203,Beta,BLAE EORK RU-D D13-20,8675.25,-185.65625,2687.09375,Outer Orion Spur,Outer Orion Spur,F (White) Star, 5 D,,Rocky body,0.1983613949,953,296,No volcanism,19.02242226,19.02294797,0.001117,Den Elton
204,Gamma,BLAE EORK RU-D D13-20,8675.25,-185.65625,2687.09375,Outer Orion Spur,Outer Orion Spur,F (White) Star, 5 D,,Rocky body,0.1983613949,953,296,No volcanism,19.02242226,19.02294797,0.001117,Den Elton
205,Alpha,COL 173 SECTOR KT-G B40-2,1172.03125,-221.34375,167.28125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.4124771198,24,291,No volcanism,8.157921403,-8.157949079,0.000917,b0rys
206,Alpha,COL 173 SECTOR KT-G B40-2,1172.03125,-221.34375,167.28125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.4124771198,24,291,No volcanism,8.157921403,-8.157949079,0.000917,zzz_Unknown
207,Alpha,COL 173 SECTOR KT-G B40-2,1172.03125,-221.34375,167.28125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.4124771198,24,291,No volcanism,8.157921403,-8.157949079,0.000917,zzz_Unknown
208,Alpha,COL 173 SECTOR RH-C B29-1,1306.15625,-179.21875,-71.71875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 3,,High metal content world,0.1612444928,2170,278,No volcanism,3.302102141,3.30211046,0.00038,Namix
209,Beta,COL 173 SECTOR RH-C B29-1,1306.15625,-179.21875,-71.71875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 3,,High metal content world,0.1612444928,2170,278,No volcanism,3.302102141,3.30211046,0.00038,Namix
210,Beta,COL 173 SECTOR RH-C B29-1,1306.15625,-179.21875,-71.71875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 3,,High metal content world,0.1612444928,2170,278,No volcanism,3.302102141,3.30211046,0.00038,Namix
211,Gamma,PRAI HYPOO GF-E C10,-9308.09375,-406.1875,7927.40625,Temple,Temple,M (Red dwarf) Star, B 4,,High metal content world,0.1495310721,1753,280,No volcanism,6.107690158,8.938398275,0.121903,Baton
212,Gamma,PRAI HYPOO GF-E C10,-9308.09375,-406.1875,7927.40625,Temple,Temple,M (Red dwarf) Star, B 4,,High metal content world,0.1495310721,1753,280,No volcanism,6.107690158,8.938398275,0.121903,Baton
